Node ID,Node Path,Query
11062231,Beauty/Skin Care/Hands & Nails/Cuticle Care/Cuticle Creams & Oils,item_type_keyword:cuticle-creams-and-oils
11062241,Beauty/Skin Care/Hands & Nails/Cuticle Care/Cuticle Removers,item_type_keyword:cuticle-removers
11062251,Beauty/Skin Care/Hands & Nails/Cuticle Care/Cuticle Repair,item_type_keyword:cuticle-repair-treatments
11062261,Beauty/Skin Care/Hands & Nails/Hand Creams & Lotions,item_type_keyword:( hand-creams OR hand-lotions )
11062271,Beauty/Skin Care/Hands & Nails/Hand Soaps,item_type_keyword:hand-washes
11062281,Beauty/Skin Care/Hands & Nails/Moisturizing Gloves,item_type_keyword:moisturizing-gloves
11062291,Beauty/Skin Care/Hands & Nails/Nail Treatments,item_type_keyword:nail-treatment-products
11062311,Beauty/Skin Care/Hands & Nails/Nail Treatments/Growth Formula,item_type_keyword:nail-growth-formula-treatments
11062321,Beauty/Skin Care/Hands & Nails/Nail Treatments/Nail Repair,item_type_keyword:nail-repair-products
11062331,Beauty/Skin Care/Hands & Nails/Nail Treatments/Nail Strengthening,item_type_keyword:nail-strengthening-products
11062341,Beauty/Skin Care/Hands & Nails/Nail Treatments/Nail Whitening,item_type_keyword:nail-whitening-treatments
11062351,Beauty/Skin Care/Hands & Nails/Nail Treatments/Ridge Filler,item_type_keyword:nail-ridge-fillers
3787271,Beauty/Skin Care/Hands & Nails/Paraffin Baths,item_type_keyword:paraffin-baths
3761351,Beauty/Skin Care/Lips,item_type_keyword:cold-sore-and-fever-blister-treatments
979546011,Beauty/Skin Care/Lips/Balms,item_type_keyword:lip-balms-and-moisturizers
979548011,Beauty/Skin Care/Lips/Scrubs,item_type_keyword:lip-scrubs
11062691,Beauty/Skin Care/Lips/Sunscreen,item_type_keyword:lip-protection-sunscreen
11062371,Beauty/Skin Care/Maternity,item_type_keyword:maternity-skin-care-products
11062581,Beauty/Skin Care/Sets,item_type_keyword:skin-care-product-sets
11062591,Beauty/Skin Care/Sun,item_type_keyword:sunscreens-and-tanning-products
11062601,Beauty/Skin Care/Sun/After Sun,item_type_keyword:after-sun-skin-care-moisturizers
11062691,Beauty/Skin Care/Sun/Lip Protection,item_type_keyword:lip-protection-sunscreen
11062641,Beauty/Skin Care/Sun/Self-Tanners & Bronzers,item_type_keyword:( self-tanning-products OR body-bronzing-products )
11062651,Beauty/Skin Care/Sun/Skin Protection,item_type_keyword:sunscreens
11062701,Beauty/Skin Care/Sun/Skin Protection/Sports,item_type_keyword:sport-sunscreens
11062731,Beauty/Skin Care/Sun/Tanning Oils,item_type_keyword:tanning-oils
11062741,Beauty/Tools & Accessories,
11062751,Beauty/Tools & Accessories/Bags & Cases,
11062761,Beauty/Tools & Accessories/Bags & Cases/Brush Bags,item_type_keyword:makeup-brush-bags
11062771,Beauty/Tools & Accessories/Bags & Cases/Cosmetic Bags,item_type_keyword:cosmetic-bags
11062781,Beauty/Tools & Accessories/Bags & Cases/Refillable Containers,item_type_keyword:refillable-cosmetic-containers
387321011,Beauty/Tools & Accessories/Bags & Cases/Toiletry Bags,item_type_keyword:toiletry-bags
11062791,Beauty/Tools & Accessories/Bags & Cases/Tote Bags,item_type_keyword:cosmetic-tote-bags
11062801,Beauty/Tools & Accessories/Bags & Cases/Train Cases,item_type_keyword:makeup-train-cases
11062811,Beauty/Tools & Accessories/Bags & Cases/Travel Cases & Holders,item_type_keyword:makeup-travel-cases-and-holders
11056491,Beauty/Tools & Accessories/Bathing Accessories,item_type_keyword:bathing-accessories
11056501,Beauty/Tools & Accessories/Bathing Accessories/Bath Brushes,item_type_keyword:bath-brushes
11056511,Beauty/Tools & Accessories/Bathing Accessories/Bath Mitts & Cloths,item_type_keyword:bath-mitts-and-cloths
11056521,Beauty/Tools & Accessories/Bathing Accessories/Bath Pillows,item_type_keyword:bath-pillows
11056531,Beauty/Tools & Accessories/Bathing Accessories/Bath Trays,item_type_keyword:bath-trays
11056541,Beauty/Tools & Accessories/Bathing Accessories/Eye Masks,item_type_keyword:cooling-eye-masks
11056551,"Beauty/Tools & Accessories/Bathing Accessories/Loofahs, Sponges & Poufs",item_type_keyword:( bath-loofahs OR bath-sponges OR bath-poufs )
11056571,Beauty/Tools & Accessories/Bathing Accessories/Shower Caps,item_type_keyword:shower-caps
3784921,Beauty/Tools & Accessories/Cotton & Swabs,
3784931,Beauty/Tools & Accessories/Cotton & Swabs/Cotton Balls,item_type_keyword:cotton-balls
3784941,Beauty/Tools & Accessories/Cotton & Swabs/Cotton Swabs,item_type_keyword:cotton-swabs
234944011,Beauty/Tools & Accessories/Epilators,item_type_keyword:epilators
3786861,Beauty/Tools & Accessories/Facial Steamers,item_type_keyword:facial-steamers
3784151,Beauty/Tools & Accessories/Hair Coloring Tools,item_type_keyword:hair-coloring-tools
3784161,Beauty/Tools & Accessories/Hair Coloring Tools/Applicator Bottles,item_type_keyword:hair-color-applicator-bottles
3784171,"Beauty/Tools & Accessories/Hair Coloring Tools/Brushes, Combs & Needles",item_type_keyword:( hair-coloring-brushes-and-combs OR hair-coloring-needles )
3784181,"Beauty/Tools & Accessories/Hair Coloring Tools/Caps, Foils & Wraps",item_type_keyword:( hair-color-caps OR hair-color-foils OR hair-color-wraps )
3784191,Beauty/Tools & Accessories/Hair Coloring Tools/Hair Color Mixing Bowls,item_type_keyword:hair-color-mixing-bowls
3784201,Beauty/Tools & Accessories/Hair Coloring Tools/Hair Color Removers,item_type_keyword:hair-color-removers
11058091,Beauty/Tools & Accessories/Hair Styling Tools,item_type_keyword:hair-styling-products
3784241,Beauty/Tools & Accessories/Hair Styling Tools/Braiders,item_type_keyword:hair-braiders
11058121,Beauty/Tools & Accessories/Hair Styling Tools/Brushes,item_type_keyword:hair-brushes
11058131,Beauty/Tools & Accessories/Hair Styling Tools/Combs,item_type_keyword:hair-combs
11058111,Beauty/Tools & Accessories/Hair Styling Tools/Diffusers,item_type_keyword:hair-dryer-diffusers
11058141,Beauty/Tools & Accessories/Hair Styling Tools/Hair Dryers,item_type_keyword:hair-dryers
3784371,Beauty/Tools & Accessories/Hair Styling Tools/Hair Rollers,item_type_keyword:hair-rollers
11058221,Beauty/Tools & Accessories/Hair Styling Tools/Hot-Air Brushes,item_type_keyword:hot-air-brushes
11058231,Beauty/Tools & Accessories/Hair Styling Tools/Irons,item_type_keyword:hair-styling-irons
3784341,Beauty/Tools & Accessories/Hair Styling Tools/Irons/Crimping Irons,item_type_keyword:crimping-irons
11058251,Beauty/Tools & Accessories/Hair Styling Tools/Irons/Curling Irons,item_type_keyword:curling-irons
11058261,Beauty/Tools & Accessories/Hair Styling Tools/Irons/Flattening Irons,item_type_keyword:flattening-irons
11057971,Beauty/Tools & Accessories/Hair Styling Tools/Styling Accessories,
11057981,Beauty/Tools & Accessories/Hair Styling Tools/Styling Accessories/Barrettes,item_type_keyword:hair-barrettes
11057991,Beauty/Tools & Accessories/Hair Styling Tools/Styling Accessories/Claws,item_type_keyword:hair-claws
3784401,Beauty/Tools & Accessories/Hair Styling Tools/Styling Accessories/Clips,item_type_keyword:hair-clips
11058011,Beauty/Tools & Accessories/Hair Styling Tools/Styling Accessories/Decorative Combs,item_type_keyword:decorative-hair-combs
3784491,Beauty/Tools & Accessories/Hair Styling Tools/Styling Accessories/Hair Drying Towels,item_type_keyword:hair-drying-towels
3784391,Beauty/Tools & Accessories/Hair Styling Tools/Styling Accessories/Hair Pins,item_type_keyword:hair-pins
11058041,Beauty/Tools & Accessories/Hair Styling Tools/Styling Accessories/Hair Sticks,item_type_keyword:hair-sticks
11058051,Beauty/Tools & Accessories/Hair Styling Tools/Styling Accessories/Headbands,item_type_keyword:fashion-headbands
11058071,Beauty/Tools & Accessories/Hair Styling Tools/Styling Accessories/Ponytail Holders,item_type_keyword:ponytail-holders
11059391,Beauty/Tools & Accessories/Makeup Brushes & Tools,
11058701,Beauty/Tools & Accessories/Makeup Brushes & Tools/Blotting Paper,item_type_keyword:makeup-blotting-papers
11059401,Beauty/Tools & Accessories/Makeup Brushes & Tools/Brushes & Applicators,item_type_keyword:( makeup-brushes OR makeup-applicators )
11059461,Beauty/Tools & Accessories/Makeup Brushes & Tools/Brushes & Applicators/Brush Cleaners,item_type_keyword:makeup-brush-cleaners
11059411,Beauty/Tools & Accessories/Makeup Brushes & Tools/Brushes & Applicators/Cheeks,item_type_keyword:cheek-brushes
11059421,"Beauty/Tools & Accessories/Makeup Brushes & Tools/Brushes & Applicators/Eyes, Lashes & Brows",item_type_keyword:( eye-brushes OR lash-brushes OR brow-brushes )
11059431,Beauty/Tools & Accessories/Makeup Brushes & Tools/Brushes & Applicators/Face,item_type_keyword:face-brushes
11059441,Beauty/Tools & Accessories/Makeup Brushes & Tools/Brushes & Applicators/Lips,item_type_keyword:lip-brushes
11059451,Beauty/Tools & Accessories/Makeup Brushes & Tools/Brushes & Applicators/Sets,item_type_keyword:makeup-brush-sets
11059471,Beauty/Tools & Accessories/Makeup Brushes & Tools/Eyelash Tools,item_type_keyword:eyelash-tools
